query,overlap,tf_top_urls,fuzzy_top_urls
techfix,1,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | laptops.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html | gaids/Kak-ustranit-zasvety-po-krayam-LED-paneli.html,"laptops.html | gaids/Potsarapali ekran pri neakkuratnoy ochistke (zhostkoy tkan'yu ili khimiyey).html | smartphones.html | consoles.html | gaids/Virusy v Smart TV (naprimer, iz-za komponentov prilozheniy).html | gaids/Uronili televizor pri perenoske ili ustanovke.html | gaids/Zavisaniye sistem (Android TV, Tizen, WebOS i dr.).html | tv.html | gaids/Remont T-Con platy.html | cameras.html"
авто,0,guides-auto-electronics/smart-home-car-scenarios.html | guides-smartphones/phone-gps-tracker.html | guides-auto-electronics/video-surveillance-settings.html | guides-auto-electronics/comfort-profiles.html | guides-auto-electronics/rear-view-camera-connection.html | guides-auto-electronics/gadget-integration.html | guides-auto-electronics/event-logs-reading.html | guides-auto-electronics/night-vision-integration.html | guides-auto-electronics/ecu-reflash.html | guides-smartphones/best-car-holders.html,"auto-electronics.html | gaids/Kondensat v televizore iz-za rezkogo perepada temperatury.html | gaids/Kondensat v televizore iz-za povyshennoy vlazhnosti v pomeshchenii.html | gaids/Popali myachom, igrushkoy ili drugim predmetom.html | guides-large-appliances/convection-fan-cleaning-instruction.html | gaids/Problemy s avtootklyucheniyem (taymer sna).html | guides-large-appliances/appliance-sensor-compatibility-check-methods.html | guides-large-appliances/water-heater-trips-rccb-issue.html | gaids/Zamena podsvetki (LED ili Edge-lit).html | gaids/Kalibrovka tsvetov proyektora.html"
электроника,2,"guides-cameras/шаблоооон.html | guides-auto-electronics/starter-electronics.html | gaids/Gde-kupit-zapchasti-dlya-remonta-LED-paneley.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | gaids/Kak khranit' proyektor, yesli ne ispol'zuyetsya.html | gaids/Optimal'nyye usloviya ekspluatatsii proyektora.html | laptops.html",auto-electronics.html | index.html | guides-auto-electronics/electronics-noise-fix.html | guides-large-appliances/gas-hob-electronic-ignition-spark-issue.html | guides-auto-electronics/fuel-injection-systems.html | gaids/Potreblenie-elektroenergii-LED-panelyami.html | guides-auto-electronics/starter-electronics.html | gaids/Kak podklyuchit' proyektor k kolonkam.html | guides-auto-electronics/heating-systems.html | guides-auto-electronics/brake-control-systems.html
бытовая,0,guides-cameras/шаблоооон.html | guides-large-appliances/remove-plastic-object-from-dishwasher-drum.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | laptops.html | gaids/Kak rasshifrovat' markirovku LED-paneli.html | guides-auto-electronics/remote-tegration.html | guides-auto-electronics/remote-control-integration.html,"gaids/Problemy s 4K-proyektorami.html | guides-large-appliances/dry-heater-element-burns-out-fast.html | guides-large-appliances/steam-oven-error-f22-reset.html | gaids/Problemy s lampoy proyektora (peregoraniye, miganiye).html | gaids/Kalibrovka tsvetov proyektora.html | gaids/Ne rabotayet podsvetka (QLED).html | gaids/Ne rabotayet knopka vklyucheniya na televizore.html | guides-auto-electronics/engine-sensor-scenarios.html | gaids/Problemy s avtopovorotom izobrazheniya.html | guides-auto-electronics/pressure-sensor-settings.html"
проверьте,0,"gaids/Net zvuka v televizoreQN90C.html | gaids/Net zvuka Haier S8000.html | gaids/Net zvuka cherez opticheskiy vykhod.html | gaids/Zvuk propadayet i poyavlyayetsya Haier S8000.html | gaids/Haier Smart TV S8000Net izobrazheniya, no yest' zvuk.html | gaids/Polosy na ekrane Haier S8000.html | gaids/Ekran temnyy, no podsvetka rabotayet Haier S8000.html | gaids/Otsutstviye zvuka v televizore cherez naushniki cherez Bluetooth ili raz yem 3.5 mm.html | gaids/Iskazhennyye tsveta Haier S8000.html | gaids/Mertsaniye ekrana Haier S8000.html",guides-large-appliances/appliance-sensor-compatibility-check-methods.html | guides-large-appliances/water-heater-leaking-from-bottom.html | guides-cameras/Kak proverit' rezkost' ob'ektiva.html | guides-large-appliances/cooking-hob-gas-leak-test.html | consoles.html | gaids/Proverka drayvera LED-paneli mul'timetrom.html | gaids/Problemy s HDR na proyektore.html | guides-auto-electronics/steering-heating-check.html | guides-large-appliances/air-conditioner-power-consumption-check-methods.html | gaids/Kak proverit' kondensatory v LED-paneli.html
года,0,guides-cameras/шаблоооон.html | gaids/Reyting luchshikh proizvoditeley LED-paneley.html | guides-cameras/Razvitie fotograficheskogo zreniya.html | guides-smartphones/sue-manufacturer.html | guides-smartphones/eco-phones-2025.html | guides-smartphones/customs-rules-phones.html | guides-cameras/Tamozhennye pravila dlya fotooborudovaniya.html | guides-consoles/indie-hits-switch-2025.html | guides-consoles/geforce-now-on-switch.html | guides-consoles/Luchshie eksklyuzivy PS5 v 2025.html,"consoles.html | guides-large-appliances/magnesium-anode-descaling-procedure.html | gaids/Proyektory dlya biznesa (konferents-zaly, vystavki).html | gaids/Tiho igraet TV.html | gaids/Remont lazernogo modulya proyektora.html | gaids/Kondensat v televizore iz-za rezkogo perepada temperatury.html | gaids/Kondensat v televizore iz-za povyshennoy vlazhnosti v pomeshchenii.html | gaids/Explanations/capacitors.html | guides-auto-electronics/smart-home-car-scenarios.html | guides-large-appliances/kitchen-hood-airduct-vibration-issue.html"
instagram,0,guides-cameras/шаблоооон.html | guides-cameras/Vliyanie sotssetey na stil syemki.html | guides-cameras/Pryamye prodazhi cherez sotsialnye seti.html | guides-cameras/Kak zarabatyvat na fotografii.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | laptops.html | gaids/Kak rasshifrovat' markirovku LED-paneli.html,gaids/Ne rabotayet SmartThings.html | gaids/net zvuka Problemy s nastroykoy audio (PCM Bitstream).html | gaids/Problemy s Miracast i AirPlay.html | gaids/Problemy s Magic Remote (nepravil'naya rabota kursora).html | guides-cameras/VR-fotografiya s Insta360 Pro 2.html | gaids/Kak nastroit' Perfect Natural Motion.html | guides-consoles/Emulyatsiya Nintendo DS na Steam Deck.html | guides-smartphones/xbox-elite2-mobile-setup.html | guides-cameras/Fujifilm Instax Mini Evo hybrid-tekhnologii v 2025.html | guides-smartphones/telegram-bot-android.html
мелкая,0,guides-cameras/шаблоооон.html | index.html | gaids/Svetodiodnaya-panel-dlya-podsvetki-zerkala.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | gaids/Kak-sdelat-LED-panel-dlya-rasteniy-fitolampu.html | guides-cameras/Kak ubrat' pyl' iz ob'ektiva.html | laptops.html | gaids/Kak rasshifrovat' markirovku LED-paneli.html,guides-large-appliances/coffee-machine-filter-replacement.html | gaids/Medlennaya rabota Smart TV (tormozit interfeys).html | guides-large-appliances/water-heater-trips-rccb-issue.html | guides-large-appliances/salt-container-leak-issue.html | gaids/Ispol'zovaniye neoriginal'nogo bloka pitaniya.html | guides-large-appliances/stove-top-shutdown-issue.html | gaids/Pochemu-LED-panel-vklyuchaetsya-ne-srazu.html | guides-large-appliances/kitchen-hood-filter-replacement.html | guides-large-appliances/refrigerator-bubbling-noise.html | gaids/Remont bloka pitaniya.html
права,0,guides-smartphones/photo-copyright.html | guides-cameras/Avtorskie prava na foto v epokhu AI.html | guides-smartphones/consumer-rights-repair.html | guides-cameras/шаблоооон.html | guides-auto-electronics/remote-control-error-fix.html | gaids/Kanaly ne zagruzhayutsya Oshibka 403 Net pleylista.html | guides-smartphones/remove-viruses-android.html | guides-consoles/Oshibka 0x80070005 na Xbox reshenie.html | guides-cameras/GDPR i street-fotografiya.html | guides-cameras/Litsenzirovanie kommercheskoy syemki.html,gaids/Potsarapali ekran pri neakkuratnoy ochistke (zhostkoy tkan'yu ili khimiyey).html | consoles.html | cameras.html | guides-cameras/Pochemu vspyshka ne srabatyvaet.html | gaids/Problemy s avtofokusom.html | guides-large-appliances/water-heater-leak-fix.html | guides-large-appliances/r32-split-system-refill-instruction.html | guides-large-appliances/ac-poor-cooling-in-heat.html | gaids/Tiho igraet TV.html | guides-cameras/Pochemu fotoapparat peregrevayetsya.html
гайды,0,guides-cameras/шаблоооон.html | index.html | guides-smartphones/sue-manufacturer.html | guides-smartphones/used-phone-sale.html | guides-smartphones/customs-rules-phones.html | guides-smartphones/photo-copyright.html | gaids/Problemy s energosberegayushchim rezhimom.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html,guides-large-appliances/used-motor-for-rare-appliance-model.html | guides-auto-electronics/ecall-troubleshooting.html | guides-smartphones/best-selfie-sticks-2025.html | guides-auto-electronics/steering-adjustment-errors.html | guides-auto-electronics/custom-headlight-modes.html | guides-auto-electronics/spark-plug-replacement.html | guides-large-appliances/non-original-heater-element-fast-failure-issue.html | guides-large-appliances/dishwasher-not-removing-oil.html | guides-auto-electronics/humidity-control-errors.html | guides-large-appliances/dishwasher-drying-element-replacement.html
techfix советы,2,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | laptops.html | guides-cameras/street-photo.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | guides-cameras/hdr.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html,"articles.html | index.html | laptops.html | gaids/Potsarapali ekran pri neakkuratnoy ochistke (zhostkoy tkan'yu ili khimiyey).html | gaids/Uronili televizor pri perenoske ili ustanovke.html | smartphones.html | consoles.html | gaids/Virusy v Smart TV (naprimer, iz-za komponentov prilozheniy).html | gaids/Zavisaniye sistem (Android TV, Tizen, WebOS i dr.).html | tv.html"
techfix смартфоны,2,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | laptops.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html | gaids/Kak-ustranit-zasvety-po-krayam-LED-paneli.html,smartphones.html | index.html | articles.html | laptops.html | guides-smartphones/5g-phones-2025.html | gaids/Potsarapali ekran pri neakkuratnoy ochistke (zhostkoy tkan'yu ili khimiyey).html | guides-smartphones/tails-os-smartphone.html | gaids/Uronili televizor pri perenoske ili ustanovke.html | consoles.html | guides-smartphones/eco-phones-2025.html
techfix контакты,2,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | laptops.html | gaids/Pochemu-LED-panel-migaet-pri-vklyuchenii.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html,"index.html | laptops.html | gaids/Potsarapali ekran pri neakkuratnoy ochistke (zhostkoy tkan'yu ili khimiyey).html | gaids/Virusy v Smart TV (naprimer, iz-za komponentov prilozheniy).html | gaids/Uronili televizor pri perenoske ili ustanovke.html | smartphones.html | consoles.html | gaids/Zavisaniye sistem (Android TV, Tizen, WebOS i dr.).html | gaids/Remont T-Con platy.html | tv.html"
techfix фотоаппараты,1,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | laptops.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html | gaids/Kak-ustranit-zasvety-po-krayam-LED-paneli.html,cameras.html | index.html | guides-cameras/Kak zamenit displey fotoapparata.html | guides-cameras/Pochemu fotoapparat bystro razryazhaetsya.html | guides-cameras/Pochemu fotoapparat peregrevayetsya.html | guides-cameras/Kak zamenit' displey fotoapparata.html | guides-cameras/Kak snimat' sport na fotoapparat.html | guides-cameras/Kak pravilno khranit fotoapparat.html | guides-cameras/Kak snimat' zvezdy na fotoapparat.html | guides-cameras/Kak snimat timelaps na fotoapparat.html
techfix техника,2,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | laptops.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html | gaids/Kak-ustranit-zasvety-po-krayam-LED-paneli.html,"index.html | articles.html | smartphones.html | laptops.html | gaids/Potsarapali ekran pri neakkuratnoy ochistke (zhostkoy tkan'yu ili khimiyey).html | gaids/Zavisaniye sistem (Android TV, Tizen, WebOS i dr.).html | gaids/Virusy v Smart TV (naprimer, iz-za komponentov prilozheniy).html | consoles.html | gaids/Uronili televizor pri perenoske ili ustanovke.html | gaids/Remont T-Con platy.html"
советы смартфоны,1,guides-cameras/шаблоооон.html | guides-smartphones/transparent-display-phones.html | guides-cameras/street-photo.html | guides-smartphones/5g-phones-2025.html | guides-cameras/hdr.html | gaids/Vliyanie-LED-paneley-na-interer-sovety-dizaynerov.html | guides-smartphones/holographic-display-phones.html | guides-smartphones/retro-trend-phones.html | guides-smartphones/ai-chips-future.html | guides-smartphones/eco-phones-2025.html,smartphones.html | guides-smartphones/5g-phones-2025.html | guides-smartphones/tails-os-smartphone.html | guides-smartphones/hide-ip-address.html | guides-smartphones/phone-as-server.html | guides-auto-electronics/start-stop-check.html | guides-smartphones/data-recovery-dead-phone.html | guides-smartphones/encrypt-files-on-smartphone.html | guides-smartphones/restore-deleted-contacts.html | guides-smartphones/check-phone-authenticity.html
советы контакты,2,guides-smartphones/restore-deleted-contacts.html | guides-cameras/шаблоооон.html | guides-smartphones/charging-port-contacts-repair.html | guides-cameras/street-photo.html | guides-auto-electronics/sensor-contacts-cleaning.html | guides-cameras/hdr.html | gaids/Vliyanie-LED-paneley-na-interer-sovety-dizaynerov.html | guides-auto-electronics/roof-sensor-error-fix.html | guides-auto-electronics/trunk-organizer-light-off-check.html | guides-large-appliances/samsung-jet-bot-ai-charging-issue.html,guides-auto-electronics/eco-monitoring-settings.html | guides-smartphones/restore-deleted-contacts.html | guides-smartphones/hardware-security-keys.html | guides-large-appliances/ac-noisy-operation.html | gaids/Remont povrezhdennykh kontaktov v LED-paneli.html | guides-large-appliances/convection-fan-cleaning-instruction.html | guides-auto-electronics/sensor-contacts-cleaning.html | guides-auto-electronics/trunk-monitoring-modes.html | guides-large-appliances/salt-container-leak-issue.html | guides-cameras/Kak proverit' rezkost' ob'ektiva.html
